Address,Group,NFT Balance,ETH Balance,Last Update
0xC64F14CA17DAD84FAC73B1838156AA2EEA46BCA2,KKB,7,0.10717359599999994,2022-02-01 13:34:56
0x8CC99FBA42E41E3291D84394EA58461A5AAB7117,IOG,8,0.119506012,2022-02-01 13:34:58
0x7CD85275165A5437C9BD8B977DED927728A1CF7E,RSBBI,8,0.12146928,2022-02-01 13:33:22
0x890E9B91FF2F32BB0DC05C452BCA7B37DB534A39,PT,5,0.522866958,2022-02-01 13:25:21
0x3E5081B0856D6A6A7001D7B45089EF012F1BD318,PT,14,0.15106246599999992,2022-02-01 13:25:15
0x464D8EFE0DFD5A4E968BEEB472B07CB6C1A17A59,PT,6,0.5292811679999999,2022-02-01 13:24:59
0xE7F5314B54B565A4A245AE15428E6F9EE3971461,PT,6,0.45852883999999994,2022-02-01 13:25:07
0x8877AACFAF9162ACB2668979AED64E490619B24D,PT,10,0.12857513394805345,2022-02-01 13:24:55
0x29352D0F5FAEA82F339E40024B14205E4B254686,BBG,4,0.286066152,2022-02-01 13:24:48
0x3735443F71249413452DEB0EFBA694929A029586,BBG,12,0.128486442,2022-02-01 13:24:39
0xAACFB4687DFF83BAFAA3B36E0E06CA0E2708818E,BBG,8,0.399873332,2022-02-01 13:24:33
0xCA0822682643D89991DDD8B7A1B43B2BF5483AC6,BBG,6,0.5304561,2022-02-01 13:24:26
0xFE88BD308B48A6510024B563C0A780397088DAE7,BBG,0,3.952983867e-4,2022-02-01 13:24:13
0x7CD7BF5C7DDF4975E4E49DAC451A7AF3A9066D0B,PT,0,0.58388,2022-02-01 13:24:06
0x958C2B7F4BA3A1A521259A76AEA3B124AD2879F9,PT,0,0.476026,2022-02-01 13:23:59
0xD42AC15F27B45BC8A13249130CD73B9645390BE8,RGN,0,1.058315,2022-02-01 13:24:17
0x7851E290BCB068C2B23D715A0AD143D8B82DA393,RGN,0,1.192761,2022-02-01 13:24:20
0xBD51E6BCDEB726A7FD098DFDAB716B1B91BBA999,BBG,11,0.12335393899999994,2022-02-01 13:24:38
0x84276424EDF6DA9AA38A1F780D878915A119E6AE,PT,5,0.604142308,2022-02-01 13:25:00
0xAC62F36C9F216827DA168968F859F12D6559C234,PT,8,0.48674477,2022-02-01 13:25:20
0xC0FB8A9CD317957A0FAF2CDB3FCC61C702C689B7,PT,6,0.07777651199999994,2022-02-01 13:33:29
0xD558BFA5DB5F027FA21D9870EC56FF597726A174,KKB,4,0.049266866,2022-02-01 13:34:54
0xBFEAF4B32939471533F7655AE19199C07F6CCA90,IOG,5,0.06495715,2022-02-01 13:34:59
0x72FF46A7BDF57151B0DDF1B5DBDC59F11AAF4A9F,RGN,4,0.05031291,2022-02-01 13:35:05
0xB117818E21ACE97E058F6E61769420548A85518B,RGN,4,0.054497086,2022-02-01 13:35:10
0x62F71D429BE93FCE8E1F92010621ED1D16104888,RGN,8,0.118524378,2022-02-01 13:35:16
